log_Teff,LogL_lsun,Age_gyr,Step,Log_g,Mass_msun,feh,Mass_input,Metallicity_input,Z_used,Age_input
3.5823286504116973,-1.4177847669249615,0.15,267.6120050060601,4.8388542036160525,0.5,0.021396624428670942,0.5,-0.03,0.021387996359914462,0.15
3.5826004830435036,-1.4151974878939904,0.15,267.77393929451927,4.838146068270855,0.501,0.02139662261116969,0.501,-0.03,0.021387996359914462,0.15
3.58287187278439,-1.412612298431311,0.15,267.9357484976477,4.837438250931286,0.502,0.021396620789624135,0.502,-0.03,0.021387996359914462,0.15
3.583142812894307,-1.4100292303366009,0.15,268.0974307118592,4.836730756436851,0.503,0.021396618963972724,0.503,-0.03,0.021387996359914462,0.15
3.583413296495749,-1.407448316058076,0.15,268.25898399474505,4.836023589725754,0.504,0.021396617134152654,0.504,-0.03,0.021387996359914462,0.15
3.5836833165702267,-1.4048695887091096,0.15,268.42040636407876,4.835316755837426,0.505,0.021396615300099835,0.505,-0.03,0.021387996359914462,0.15
3.5839528659546374,-1.4022930820853643,0.15,268.58169579679117,4.834610259915137,0.5060000000000001,0.021396613461748863,0.506,-0.03,0.021387996359914462,0.15
3.5842219373375213,-1.3997188306824557,0.15,268.7428502279123,4.833904107208681,0.507,0.021396611619032967,0.507,-0.03,0.021387996359914462,0.15
3.5844905232552002,-1.3971468697141671,0.15,268.90386754948156,4.833198303077144,0.508,0.021396609771883995,0.508,-0.03,0.021387996359914462,0.15
3.5847586160877953,-1.3945772351312378,0.15,269.06474560942274,4.83249285299177,0.509,0.021396607920232354,0.509,-0.03,0.021387996359914462,0.15
3.5850262080551216,-1.3920099636407433,0.15,269.2254822103841,4.83178776253891,0.51,0.021396606064007014,0.51,-0.03,0.021387996359914462,0.15
3.5852932912124458,-1.3894450927260893,0.15,269.3860751085412,4.831083037423056,0.511,0.021396604203135414,0.511,-0.03,0.021387996359914462,0.15
3.5855598574461176,-1.3868826606676454,0.15,269.5465220123622,4.830378683469997,0.512,0.021396602337543473,0.512,-0.03,0.021387996359914462,0.15
3.585825898469053,-1.3843227065640389,0.15,269.7068205813323,4.829674706630039,0.513,0.02139660046715551,0.513,-0.03,0.021387996359914462,0.15
3.5860914058160773,-1.381765270354136,0.15,269.8669684246392,4.828971112981372,0.514,0.02139659859189423,0.514,-0.03,0.021387996359914462,0.15
3.5863563708391144,-1.3792103928397343,0.15,270.0269630998135,4.828267908733507,0.515,0.021396596711680652,0.515,-0.03,0.021387996359914462,0.15
3.58662078470222,-1.3766581157089952,0.15,270.1868021113266,4.827565100230851,0.516,0.021396594826434107,0.516,-0.03,0.021387996359914462,0.15
3.586884638376453,-1.3741084815606448,0.15,270.3464829091418,4.826862693956387,0.517,0.02139659293607213,0.517,-0.03,0.021387996359914462,0.15
3.5871479226345775,-1.371561533928971,0.15,270.506002887218,4.826160696535476,0.518,0.021396591040510466,0.518,-0.03,0.021387996359914462,0.15
3.5874109162348655,-1.3690125455880626,0.15,270.664322446467,4.825455495729232,0.519,0.021396589150878532,0.519,-0.03,0.021387996359914462,0.15
3.5876780399362507,-1.36638940810473,0.15,270.8059436664819,4.824692665446575,0.52,0.021396587433667603,0.52,-0.03,0.021387996359914462,0.15
3.5879447720623068,-1.3637679776971559,0.15,270.94750667953434,4.823929975935395,0.521,0.021396585707869276,0.521,-0.03,0.021387996359914462,0.15
3.588211107177238,-1.3611482780627429,0.15,271.08901067760286,4.8231674291498665,0.522,0.021396583973364348,0.522,-0.03,0.021387996359914462,0.15
3.588477039744166,-1.3585303333395513,0.15,271.23045483764076,4.822405027080495,0.523,0.02139658223003139,0.523,-0.03,0.021387996359914462,0.15
3.588742564122774,-1.3559141681165912,0.15,271.371838321225,4.821642771754981,0.524,0.021396580477746716,0.524,-0.03,0.021387996359914462,0.15
3.5890076745668766,-1.3532998074443998,0.15,271.5131602741957,4.820880665239077,0.525,0.021396578716384295,0.525,-0.03,0.021387996359914462,0.15
3.589272365221928,-1.3506872768459235,0.15,271.65441982628494,4.820118709637495,0.5260000000000001,0.02139657694581575,0.526,-0.03,0.021387996359914462,0.15
3.589536630122449,-1.348076602327705,0.15,271.79561609073534,4.819356907094828,0.5270000000000001,0.021396575165910245,0.527,-0.03,0.021387996359914462,0.15
3.589800463189396,-1.3454678103913935,0.15,271.936748163908,4.818595259796494,0.5280000000000001,0.02139657337653447,0.528,-0.03,0.021387996359914462,0.15
3.590063858227437,-1.3428609280455805,0.15,272.07781512487816,4.817833769969716,0.529,0.021396571577552558,0.529,-0.03,0.021387996359914462,0.15
3.590326808922165,-1.3402559828179816,0.15,272.2188160350204,4.817072439884529,0.53,0.02139656976882603,0.53,-0.03,0.021387996359914462,0.15
3.5905893088372154,-1.337653002767968,0.15,272.35974993758117,4.816311271854803,0.531,0.021396567950213736,0.531,-0.03,0.021387996359914462,0.15
3.5908513514113176,-1.3350520164994653,0.15,272.50061585723904,4.815550268239324,0.532,0.021396566121571783,0.532,-0.03,0.021387996359914462,0.15
3.591112929955239,-1.3324530531742254,0.15,272.6414127996521,4.814789431442869,0.533,0.021396564282753473,0.533,-0.03,0.021387996359914462,0.15
3.59137403764866,-1.3298561425254953,0.15,272.78213975099186,4.814028763917347,0.534,0.02139656243360924,0.534,-0.03,0.021387996359914462,0.15
3.5916346675369377,-1.3272613148720824,0.15,272.9227956774637,4.813268268162954,0.535,0.021396560573986558,0.535,-0.03,0.021387996359914462,0.15
3.591894812527794,-1.324668601132843,0.15,273.06337952481294,4.812507946729367,0.5360000000000001,0.021396558703729897,0.536,-0.03,0.021387996359914462,0.15
3.5921544653878823,-1.3220780328415989,0.15,273.203890217816,4.811747802216977,0.537,0.02139655682268062,0.537,-0.03,0.021387996359914462,0.15
3.5924136187392723,-1.3194896421625044,0.15,273.3443266597568,4.8109878372781525,0.538,0.021396554930676933,0.538,-0.03,0.021387996359914462,0.15
3.5926722650558114,-1.3169034619058755,0.15,273.4846877318864,4.810228054618549,0.539,0.021396553027553784,0.539,-0.03,0.021387996359914462,0.15
3.5929303966593897,-1.3143195255444966,0.15,273.62497229286777,4.809468456998449,0.54,0.021396551113142787,0.54,-0.03,0.021387996359914462,0.15
3.5931880057160828,-1.311737867230426,0.15,273.7651791782019,4.808709047234152,0.541,0.021396549187272136,0.541,-0.03,0.021387996359914462,0.15
3.5934450842321772,-1.3091585218123154,0.15,273.9053071996383,4.807949828199401,0.542,0.021396547249766536,0.542,-0.03,0.021387996359914462,0.15
3.59370162405008,-1.3065815248532595,0.15,274.04535514456524,4.807190802826852,0.543,0.021396545300447083,0.543,-0.03,0.021387996359914462,0.15
3.5939576168440936,-1.3040069126492002,0.15,274.18532177538304,4.806431974109598,0.544,0.021396543339131192,0.544,-0.03,0.021387996359914462,0.15
3.5942130541160657,-1.3014347222479024,0.15,274.3252058288567,4.805673345102728,0.545,0.021396541365632495,0.545,-0.03,0.021387996359914462,0.15
3.5944679271909004,-1.2988649914685193,0.15,274.4650060154488,4.804914918924943,0.546,0.021396539379760746,0.546,-0.03,0.021387996359914462,0.15
3.5947426373340687,-1.2961337578520495,0.15,274.5873787554655,4.80407433820445,0.5470000000000002,0.021396537387793242,0.547,-0.03,0.021387996359914462,0.15
3.5950192515776616,-1.2933862832785854,0.15,274.7080546568393,4.803225132924556,0.5480000000000002,0.021396535376328702,0.548,-0.03,0.021387996359914462,0.15
3.5952958104780115,-1.2906383679757174,0.15,274.8287216943749,4.802375265535623,0.5490000000000002,0.02139653334441508,0.549,-0.03,0.021387996359914462,0.15
3.595572314100205,-1.2878900124617725,0.15,274.9493798784964,4.801524736816334,0.5500000000000002,0.021396531292076425,0.55,-0.03,0.021387996359914462,0.15
3.595848762509228,-1.2851412172542647,0.15,275.0700292196121,4.800673547544153,0.551,0.021396529219336748,0.551,-0.03,0.021387996359914462,0.15
3.596125155769963,-1.2823919828698975,0.15,275.19066972811373,4.7998216984953235,0.552,0.021396527126220033,0.552,-0.03,0.021387996359914462,0.15
3.5964014939471927,-1.2796423098245648,0.15,275.31130141437694,4.798969190444876,0.553,0.0213965250127502,0.553,-0.03,0.021387996359914462,0.15
3.596677777105597,-1.2768921986333528,0.15,275.4319242887608,4.798116024166624,0.5539999999999999,0.021396522878951166,0.554,-0.03,0.021387996359914462,0.15
